# CSV-File created with merge-csv.com
# -----------------------------------------------------------

schoolName,DTaP_P,MEASLES,MUMPS,RUBELLA,VARICELLA1,VARICELLA2,MENC,HBV,UTD1,UTD2,ZERO
ST PATRICK REGIONAL SECONDARY,49.26140455,-123.1026044,115 E 11th Av,Independent School
ST PATRICK'S ELEMENTARY,49.2597623,-123.1024367,2850 Quebec St,Independent School
STRATFORD HALL,49.25746922,-123.0694633,3000 Commercial Drive,Independent School
SUNNY HILL HOSPITAL PROGRAM,49.24651246,-123.0371743,3155 E 27th Av,Public School
TECUMSEH ANNEX,49.23711627,-123.0730988,1551 E 37th Av,Public School
TECUMSEH ELEMENTARY,49.23205574,-123.0680039,1850 E 41st Av,Public School
TEMPLETON SECONDARY,49.27843909,-123.0606911,727 Templeton Drive,Public School
THE WESTSIDE SCHOOL,49.27757065,-123.1134435,788 Beatty St,Independent School
THUNDERBIRD ELEMENTARY,49.26364889,-123.0318706,2325 Cassiar St,Public School
THUNDERBIRD STRONGSTART CENTRE,49.26364889,-123.0318706,2325 Cassiar St,StrongStart BC
TILLICUM ANNEX STRONGSTART CENTRE,49.28626346,-123.0555985,2450 Cambridge St,StrongStart BC
TILLICUM COMMUNITY ANNEX,49.28626346,-123.0555985,2450 Cambridge St,Public School
TRAFALGAR ELEMENTARY,49.25017876,-123.1646061,4170 Trafalgar St,Public School
TYEE ELEMENTARY,49.25356936,-123.0738216,3525 Dumphries St,Public School
VANCOUVER ALTERNATE,49.26329988,-123.1402605,1580 W Broadway,Public School
VANCOUVER CHRISTIAN,49.25471222,-123.0285669,3496 Mons Drive,Independent School
VANCOUVER COLLEGE,49.23495942,-123.1361713,5400 Cartier St,Independent School
VANCOUVER COLLEGE DL,49.23495942,-123.1361713,5400 Cartier St,Independent School
VANCOUVER FORMOSA ACADEMY,49.23374742,-123.0463674,5621 Killarney St,Independent School
VANCOUVER HEBREW ACADEMY,49.21547173,-123.1413693,1545 W 62nd Av,Independent School
VANCOUVER LEARNING NETWORK,49.23195715,-123.0927978,530 E 41st Av,Public School
VANCOUVER MONTESSORI SCHOOL,49.2077904,-123.1446336,8650 Barnard St,Independent School
VANCOUVER TALMUD TORAH ELEMENTARY,49.24757967,-123.126822,998 W 26th Av,Independent School
VANCOUVER TECHNICAL SECONDARY,49.26075548,-123.0512998,2600 E Broadway,Public School
WALTER MOBERLY ELEMENTARY,49.21610923,-123.0843454,1000 E 59th Av,Public School
WALTER MOBERLY STRONGSTART CENTRE,49.21610923,-123.0843454,1000 E 59th Av,StrongStart BC
WAVERLEY ELEMENTARY,49.22783723,-123.0557859,6111 Elliott St,Public School
WAVERLEY STRONGSTART CENTRE,49.22783723,-123.0557859,6111 Elliott St,StrongStart BC
WEST COAST CHRISTIAN SCHOOL,49.28498447,-123.0445361,15 N Renfrew St,Independent School
WEST POINT GREY ACADEMY,49.26706635,-123.2015074,4125 W 8th Av,Independent School
WESTSIDE MONTESSORI,49.24857413,-123.1280001,4157 Oak St,Independent School
WESTSIDE MONTESSORI ACADEMY,49.25693785,-123.0503919,3075 Slocan St,Independent School
WINDERMERE COMMUNITY SECONDARY,49.24651246,-123.0371743,3155 E 27th Av,Public School
YORK HOUSE LITTLE SCHOOL,49.25671,-123.152101,3274 East Boulevard,Independent School
YORK HOUSE SCHOOL,49.24884822,-123.1403401,4176 Alexandra St,Independent School
,,,,
